timestamp,J1.phi,J1.phi.der,J2.phi,J2.phi.der,J3.phi,J3.phi.der,J4.phi,J4.phi.der
0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.09955274403615408,9.91583720607061,0.0004993588801485598,0.0997419829750617,0.0,0.0,0.0,0.0
0.02,0.19842106490805075,9.862870753302653,0.001989626897051436,0.19792096761625036,0.0,0.0,0.0,0.0
0.03,0.29690484549706625,9.838223305754328,0.0044474015719532314,0.292988615886919,0.0,0.0,0.0,0.0
0.04,0.3952621564533353,9.836501405666608,0.00783402279310217,0.3834456637725186,0.0,0.0,0.0,0.0
0.05,0.4936871970654999,9.850444496107665,0.01209618048406633,0.4678655216749094,0.0,0.0,0.0,0.0
0.06,0.5922956182963856,9.871755762851604,0.017166757489593728,0.5449168489347018,0.0,0.0,0.0,0.0
0.07,0.6911187574072303,9.892023739604305,0.022965890727549496,0.6133845361368371,0.0,0.0,0.0,0.0
0.08,0.7901070646568508,9.903639256503029,0.02940222039499537,0.6721887471807836,0.0,0.0,0.0,0.0
0.09,0.889142526871774,9.900638364734112,0.03637434199695791,0.7204021392176546,0.0,0.0,0.0,0.0
0.1,0.9880586012645155,9.87935535799744,0.0437724070159535,0.7572643669288712,0.0,0.0,0.0,0.0
0.11,1.0866652392269591,9.838846620580604,0.05147983409968504,0.7821940612933367,0.0,0.0,0.0,0.0
0.12,1.1847775217176886,9.781029918812449,0.05937518013677841,0.7947980908624775,0.0,0.0,0.0,0.0
0.13,1.2822408010218,9.708999347792567,0.06733654600807538,0.7964084124453913,0.0,0.0,0.0,0.0
0.14,1.3788989769812965,9.620264657936133,0.07530063013252933,0.7964084124453913,0.0,0.0,0.0,0.0
0.15,1.4746138929542565,9.521901530402477,0.08326471425698322,0.7964084124453913,0.0,0.0,0.0,0.0
0.16,1.5693370074163457,9.423538415650789,0.09122879838143713,0.7964084124453913,0.0,0.0,0.0,0.0
0.17,1.663116859723152,9.334803548168482,0.09919288250589108,0.7964084124453913,0.0,0.0,0.0,0.0
0.18,1.7560943173477768,9.26438311484921,0.10715696663034495,0.7964084124453913,0.0,0.0,0.0,0.0
0.19,1.8484888344277521,9.219170853989622,0.1151210507547988,0.7964084124453913,0.0,0.0,0.0,0.0
0.2,1.940576860284157,9.20359149650668,0.12308513487925277,0.7964084124453913,0.0,0.0,0.0,0.0
0.21,2.0326648491736896,9.219171158330278,0.13104921900370667,0.7964084124453913,0.0,0.0,0.0,0.0
0.22,2.1250594405624517,9.264382810085653,0.1390133031281606,0.7964084124453913,0.0,0.0,0.0,0.0
0.23,2.218036834059733,9.334803655808036,0.1469773872526145,0.7964084124453913,0.0,0.0,0.0,0.0
0.24,2.3118167118891133,9.423537646104144,0.1549414713770684,0.7964084124453913,0.0,0.0,0.0,0.0
0.25,2.406539815584972,9.521902953805519,0.1629055555015223,0.7964084124453913,0.0,0.0,0.0,0.0
